title,id,weight,width,height,depth
"Szafa wisząca SIMPLE 19"" 12Ux555x600 mm IP 20, ściany boczne pełne, drzwi z szybą RAL 7035",19-8003SZWS-19-12U-60-DS,"23,00","555,00","595,00","600,00"
"Szafa wisząca SIMPLE 19"" 3Ux555x400 mm IP 20, ściany boczne pełne, drzwi pełne RAL 7035",19-8004SZWS-19-3U-40-DP,"7,00","555,00","152,00","400,00"
"Szafa wisząca SIMPLE 19"" 4Ux555x400 mm IP 20, ściany boczne pełne, drzwi pełne RAL 7035",19-8005SZWS-19-4U-40-DP,"10,00","555,00","239,00","400,00"
"Szafa wisząca SIMPLE 19"" 4Ux555x400 mm IP 20, ściany boczne pełne, drzwi z szybą RAL 7035",19-8006SZWS-19-4U-40-DS,"10,00","555,00","239,00","400,00"
"Szafa wisząca SIMPLE 19"" 6Ux555x400 mm IP 20, ściany boczne pełne, drzwi pełne RAL 7035",19-8007SZWS-19-6U-40-DP,"12,00","555,00","328,00","400,00"
"Szafa wisząca SIMPLE 19"" 6Ux555x400 mm IP 20, ściany boczne pełne, drzwi z szybą RAL 7035",19-8008SZWS-19-6U-40-DS,"12,00","555,00","328,00","400,00"
"Szafa wisząca SIMPLE 19"" 6Ux555x600 mm IP 20, ściany boczne pełne, drzwi pełne RAL 7035",19-8009SZWS-19-6U-60-DP,"16,00","555,00","328,00","600,00"
"Szafa wisząca SIMPLE 19"" 6Ux555x600 mm IP 20, ściany boczne pełne, drzwi z szybą RAL 7035",19-8010SZWS-19-6U-60-DS,"16,00","555,00","328,00","600,00"
"Szafa wisząca SIMPLE 19"" 9Ux555x400 mm IP 20, ściany boczne pełne, drzwi pełne RAL 7035",19-8011SZWS-19-9U-40-DP,"15,00","555,00","470,00","400,00"
"Szafa wisząca SIMPLE 19"" 9Ux555x400 mm IP 20, ściany boczne pełne, drzwi z szybą RAL 7035",19-8012SZWS-19-9U-40-DS,"15,00","555,00","470,00","400,00"
"Szafa wisząca SIMPLE 19"" 9Ux555x600 mm IP 20, ściany boczne pełne, drzwi pełne RAL 7035",19-8013SZWS-19-9U-60-DP,"20,00","555,00","470,00","600,00"
"Szafa wisząca SIMPLE 19"" 9Ux555x600 mm IP 20, ściany boczne pełne, drzwi z szybą RAL 7035",19-8014SZWS-19-9U-60-DS,"20,00","555,00","470,00","600,00"
Cokół betonowy do szaf Streetbox o wymiarach 1200x600,19-COK-BET-126,"0,00","1 200,00","1 000,00","550,00"
Cokół betonowy do szaf Streetbox o wymiarach 1200x800,19-COK-BET-128,"0,00","1 200,00","1 000,00","750,00"
Cokół betonowy do szaf Streetbox o wymiarach 1400x600,19-COK-BET-146,"0,00","1 400,00","1 000,00","550,00"
Cokół betonowy do szaf Streetbox o wymiarach 1400x800,19-COK-BET-148,"0,00","1 400,00","1 000,00","750,00"
Cokół betonowy do szaf Streetbox o wymiarach 600x600,19-COK-BET-66,"0,00","600,00","1 000,00","550,00"
Cokół betonowy do szaf Streetbox o wymiarach 800x600,19-COK-BET-86,"0,00","800,00","1 000,00","550,00"
Cokół betonowy do szaf Streetbox o wymiarach 800x800,19-COK-BET-88,"0,00","800,00","1 000,00","750,00"
Cokół ze stali nierdzewnej do szaf Streetbox o wymiarach 1200x600,19-COK-ST-126,"0,00","1 200,00","1 000,00","550,00"
Cokół ze stali nierdzewnej do szaf Streetbox o wymiarach 1200x800,19-COK-ST-128,"0,00","1 200,00","1 000,00","750,00"
Cokół ze stali nierdzewnej do szaf Streetbox o wymiarach 1400x600,19-COK-ST-146,"0,00","1 400,00","1 000,00","550,00"
Cokół ze stali nierdzewnej do szaf Streetbox o wymiarach 1400x800,19-COK-ST-148,"0,00","1 400,00","1 000,00","750,00"
Cokół ze stali nierdzewnej do szaf Streetbox o wymiarach 600x600,19-COK-ST-66,"0,00","600,00","1 000,00","550,00"
Cokół ze stali nierdzewnej do szaf Streetbox o wymiarach 600x800,19-COK-ST-68,"0,00","600,00","1 000,00","550,00"
Cokół ze stali nierdzewnej do szaf Streetbox o wymiarach 800x800,19-COK-ST-88,"0,00","800,00","1 000,00","750,00"
"Szafa wisząca 19"" 9Ux600x400 mm IP 54, ściany boczne pełne, drzwi pełne, zewnetrzna, RAL 7035",19-6035SWK19-9U-40-DP-Z,"20,00","600,00","470,00","400,00"
"Szafa wisząca 19"" 9Ux600x400 mm IP 54, ściany boczne pełne, drzwi z szybą, wewnętrzna, RAL 7035",19-6036SWK19-9U-40-DS-W,"20,20","600,00","470,00","400,00"
"Szafa wisząca 19"" 9Ux600x400 IP 54, ściany boczne pełne, drzwi z szybą, zewnętrzna, RAL 7035",19-6037SWK19-9U-40-DS-Z,"20,20","600,00","470,00","400,00"
"Szafa wisząca 19"" 9Ux600x600 mm IP 54, ściany boczne pełne, drzwi pełne, wewnętrzna, RAL 7035",19-6038SWK19-9U-60-DP-W,"25,00","600,00","470,00","600,00"
"Szafa wisząca 19"" 9Ux600x600 mm IP 54, ściany boczne pełne, drzwi pełne, zewnętrzna, RAL 7035",19-6039SWK19-9U-60-DP-Z,"25,00","600,00","470,00","600,00"
"Szafa wisząca 19"" 9Ux600x600 mm IP 54, ściany boczne pełne, drzwi z szybą, wewnętrzna, RAL 7035",19-6040SWK19-9U-60-DS-W,"25,50","600,00","470,00","600,00"
"Szafa wisząca 19"" 9Ux600x600 IP 54, ściany boczne pełne, drzwi z szybą, zewnętrzna, RAL 7035",19-6041SWK19-9U-60-DS-Z,"25,50","600,00","470,00","600,00"
"Szafa wisząca dwudzielna 19"" 12U, 600x400+150 IP 54, ściany boczne pełne, drzwi pełne, wewnętrzna, RAL 7035",19-6042SWKD19-12U-40-DP-W,"45,00","600,00","605,00","550,00"
"Szafa wisząca dwudzielna 19"" 12U, 600x400+150 IP 54, ściany boczne pełne, drzwi pełne, zewnętrzna, RAL 7035",19-6043SWKD19-12U-40-DP-Z,"18,00","600,00","605,00","550,00"
"Szafa wisząca dwudzielna 19"" 12U, 600x400+150 IP 54, ściany boczne pełne, drzwi z szybą, wewnętrzna, RAL 7035",19-6044SWKD19-12U-40-DS-W,"45,00","600,00","605,00","550,00"
"Szafa wisząca dwudzielna 19"" 12U, 600x400+150 IP 54, ściany boczne pełne, drzwi z szybą, zewnętrzna, RAL 7035",19-6045SWKD19-12U-40-DS-Z,"18,00","600,00","605,00","550,00"
"Szafa wisząca dwudzielna 19"" 12U, 600x600+150 IP 54, ściany boczne pełne, drzwi pełne, wewnętrzna, RAL 7035",19-6046SWKD19-12U-60-DP-W,"48,00","600,00","605,00","750,00"
"Szafa wisząca dwudzielna 19"" 12U, 600x600+150 IP 54, ściany boczne pełne, drzwi pełne, zewnętrzna, RAL 7035",19-6047SWKD19-12U-60-DP-Z,"19,00","600,00","605,00","750,00"
"Szafa wisząca dwudzielna 19"" 12U, 600x600+150 IP 54, ściany boczne pełne, drzwi z szybą, wewnętrzna, RAL 7035",19-6048SWKD19-12U-60-DS-W,"48,00","600,00","605,00","750,00"
"Szafa wisząca dwudzielna 19"" 12U, 600x600+150 IP 54, ściany boczne pełne, drzwi z szybą, zewnętrzna, RAL 7035",19-6049SWKD19-12U-60-DS-Z,"19,00","600,00","605,00","750,00"
"Szafa wisząca dwudzielna 19"" 15U, 600x400+150 IP 54, ściany boczne pełne, drzwi pełne, wewnętrzna, RAL 7035",19-6050SWKD19-15U-40-DP-W,"54,00","600,00","737,00","550,00"
"Szafa wisząca dwudzielna 19"" 15U, 600x400+150 IP 54, ściany boczne pełne, drzwi pełne, zewnętrzna, RAL 7035",19-6051SWKD19-15U-40-DP-Z,"23,00","600,00","737,00","550,00"
"Szafa wisząca dwudzielna 19"" 15U, 600x400+150 IP 54, ściany boczne pełne, drzwi z szybą, wewnętrzna, RAL 7035",19-6052SWKD19-15U-40-DS-W,"54,00","600,00","737,00","550,00"
"Szafa wisząca dwudzielna 19"" 15U, 600x400+150 IP 54, ściany boczne pełne, drzwi z szybą, zewnętrzna, RAL 7035",19-6053SWKD19-15U-40-DS-Z,"23,00","600,00","737,00","550,00"
"Szafa wisząca dwudzielna 19"" 15U, 600x600+150 IP 54, ściany boczne pełne, drzwi pełne, wewnętrzna, RAL 7035",19-6054SWKD19-15U-60-DP-W,"56,00","600,00","737,00","750,00"
"Szafa wisząca dwudzielna 19"" 15U, 600x600+150  IP 54, ściany boczne pełne, drzwi pełne, zewnętrzna, RAL 7035",19-6055SWKD19-15U-60-DP-Z,"24,00","600,00","737,00","750,00"
"Szafa wisząca dwudzielna 19"" 15U, 600x600+150 IP 54, ściany boczne pełne, drzwi z szybą, wewnętrzna, RAL 7035",19-6056SWKD19-15U-60-DS-W,"56,00","600,00","737,00","750,00"
"Szafa wisząca dwudzielna 19"" 15U, 600x600+150 IP 54, ściany boczne pełne, drzwi z szybą, zewnętrzna, RAL 7035",19-6057SWKD19-15U-60-DS-Z,"24,00","600,00","737,00","750,00"
"Szafa wisząca dwudzielna 19"" 18U, 600x400+150 IP 54, ściany boczne pełne, drzwi pełne, wewnętrzna, RAL 7035",19-6058SWKD19-18U-40-DP-W,"64,00","600,00","870,00","550,00"
"Szafa wisząca dwudzielna 19"" 18U, 600x400+150 IP 54, ściany boczne pełne, drzwi pełne, zewnętrzna, RAL 7035",19-6059SWKD19-18U-40-DP-Z,"29,00","600,00","870,00","550,00"
"Szafa wisząca dwudzielna 19"" 18U, 600x400+150 IP 54, ściany boczne pełne, drzwi z szybą, wewnętrzna, RAL 7035",19-6060SWKD19-18U-40-DS-W,"64,00","600,00","870,00","550,00"
"Szafa wisząca dwudzielna 19"" 18U, 600x400+150 IP 54, ściany boczne pełne, drzwi z szybą, zewnętrzna, RAL 7035",19-6061SWKD19-18U-40-DS-Z,"29,00","600,00","870,00","550,00"
"Szafa wisząca dwudzielna 19"" 18U, 600x600+150 IP 54, ściany boczne pełne, drzwi pełne, wewnętrzna, RAL 7035",19-6062SWKD19-18U-60-DP-W,"66,00","600,00","870,00","750,00"
"Szafa wisząca dwudzielna 19"" 18U, 600x600+150 IP 54, ściany boczne pełne, drzwi pełne, zewnętrzna, RAL 7035",19-6063SWKD19-18U-60-DP-Z,"30,00","600,00","870,00","750,00"
"Szafa wisząca dwudzielna 19"" 18U,600x600+150 IP 54, ściany boczne pełne, drzwi z szybą, wewnętrzna, RAL 7035",19-6064SWKD19-18U-60-DS-W,"66,00","600,00","870,00","750,00"
"Szafa wisząca dwudzielna 19"" 18U, 600x600+150 IP 54, ściany boczne pełne, drzwi z szybą, zewnętrzna, RAL 7035",19-6065SWKD19-18U-60-DS-Z,"30,00","600,00","870,00","750,00"
"Szafa wisząca dwudzielna 19"" 6U, 600x400+150 IP 54, ściany boczne pełne, drzwi pełne, wewnętrzna, RAL 7035",19-6066SWKD19-6U-40-DP-W,"32,00","600,00","335,00","550,00"
"Szafa wisząca dwudzielna 19"" 6U, 600x400+150 IP 54, ściany boczne pełne, drzwi pełne, zewnętrzna, RAL 7035",19-6067SWKD19-6U-40-DP-Z,"11,00","600,00","335,00","550,00"
"Szafa wisząca dwudzielna 19"" 6U, 600x400+150 IP 54, ściany boczne pełne, drzwi z szybą, wewnętrzna, RAL 7035",19-6068SWKD19-6U-40-DS-W,"32,00","600,00","335,00","550,00"
